name,price,old_price,discount_percent,dimensions,sleeping_dimensions,url,page_number,scraped_at
Диван 51,,,,,,,1,2025-08-26 04:49:45.066586
Диван 52,,,,,,,1,2025-08-26 04:49:45.066586
Диван 53,,,,,,,1,2025-08-26 04:49:45.066586
Диван прямой Массе-М Мини Velvet Navy Blue,73490.0,86720.0,15.0,171 x 104 x 88 см,196 x 140 x 46 см,https://www.divan.ru/product/divan-pryamoj-masse-m-mini-velvet-navy-blue,1,2025-08-26 04:49:45.066586
Диван прямой Аронт Мини Velvet Smoke,83780.0,105830.0,20.0,186 x 105 x 73 см,203 x 140 x 45 см,https://www.divan.ru/product/divan-pryamoj-aront-mini-velvet-smoke,1,2025-08-26 04:49:45.066586
Диван прямой Спейс Velvet Olive,99950.0,136700.0,26.0,252 x 115 x 83 см,200 x 155 x 38 см,https://www.divan.ru/product/divan-spejs-velvet-olive,1,2025-08-26 04:49:45.066586
Диван прямой Филс-Мини 120 Velvet Terra,41150.0,58790.0,30.0,,,https://www.divan.ru/product/divan-pryamoj-fils-mini-120-velvet-terra,1,2025-08-26 04:49:45.066586
Диван угловой Нордика мини Velvet Yellow,88190.0,117590.0,25.0,175 x 155 x 92 см,200 x 160 x 45 см,https://www.divan.ru/product/divan-uglovoj-nordika-mini-velvet-yellow,1,2025-08-26 04:49:45.066586
Диван прямой Мелоу Velvet Eclipse,80840.0,101420.0,20.0,205 x 112 x 92 см,205 x 160 x 46 см,https://www.divan.ru/product/divan-pryamoj-melou-velvet-eclipse,1,2025-08-26 04:49:45.066586
Диван прямой Инес Vertical Blue,70550.0,108770.0,35.0,150 x 96 x 88 см,198 x 120 x 47 см,https://www.divan.ru/product/divan-ines-vertical-blue,1,2025-08-26 04:49:45.066586
Диван модульный Маиль-3 Textile Latte,255740.0,,,387 x 170 x 81 см,319 x 148 x 44 см,https://www.divan.ru/product/divan-modulnyj-mail-3-textile-latte,1,2025-08-26 04:49:45.066586
Диван угловой Аронт Мини Velvet Pink,88190.0,110240.0,20.0,186 x 151 x 73 см,206 x 141 x 44 см,https://www.divan.ru/product/divan-uglovoj-aront-mini-velvet-pink,1,2025-08-26 04:49:45.066586
Диван прямой Сваут Velvet Mustard,99950.0,127880.0,21.0,215 x 104 x 86 см,196 x 150 x 43 см,https://www.divan.ru/product/divan-svaut-velvet-mustard,1,2025-08-26 04:49:45.066586
Диван модульный Спейс-М 5 Lazy Midnight,290980.0,342430.0,15.0,439 x 235 x 83 см,396 x 156 x 39 см,https://www.divan.ru/product/divan-modulnyj-spejs-m-5-lazy-midnight,1,2025-08-26 04:49:45.066586
Диван угловой Аллаум Linia Stone,83780.0,105830.0,20.0,214 x 152 x 94 см,200 x 135 x 45 см,https://www.divan.ru/product/divan-uglovoj-allaum-linia-stone,1,2025-08-26 04:49:45.066586
Диван угловой Эдвин Velvet Terra,113180.0,151400.0,25.0,260 x 156 x 90 см,199 x 138 x 47 см,https://www.divan.ru/product/divan-uglovoj-edvin-velvet-terra,1,2025-08-26 04:49:45.066586
Диван модульный Brera-7 Velour Mix,263090.0,,,286 x 155 x 75 см,,https://www.divan.ru/product/modulnyj-divan-brera-7-velour-mix,1,2025-08-26 04:49:45.066586
Кушетка Ринт Bucle Yellow,32330.0,35270.0,8.0,130 x 55 x 84 см,,https://www.divan.ru/product/kushetka-rint-bucle-yellow,1,2025-08-26 04:49:45.066586
Диван прямой Виена Velvet Smoke,95540.0,129350.0,26.0,258 x 119 x 86 см,200 x 158 x 40 см,https://www.divan.ru/product/divan-viena-time-grey,1,2025-08-26 04:49:45.066586
Диван модульный Риббл-1 Bucle Mint,116110.0,,,243 x 108 x 72 см,,https://www.divan.ru/product/modulnyj-divan-ribbl-1-bucle-mint,1,2025-08-26 04:49:45.066586
Диван прямой Эби Velvet Coral,98480.0,152870.0,35.0,254 x 122 x 87 см,200 x 158 x 42 см,https://www.divan.ru/product/divan-ebi-velvet-coral,1,2025-08-26 04:49:45.066586
Диван модульный Спейс-М 1 Lazy Latte,124910.0,145490.0,14.0,272 x 112 x 83 см,249 x 156 x 39 см,https://www.divan.ru/product/divan-modulnyj-spejs-m-1-lazy-latte,1,2025-08-26 04:49:45.066586
Диван угловой Онте Bucle Eclipse,161690.0,191090.0,15.0,240 x 170 x 83 см,199 x 134 x 45 см,https://www.divan.ru/product/divan-uglovoj-onte-bucle-eclipse,1,2025-08-26 04:49:45.066586
Диван прямой Льери Мини Velvet Yellow,95540.0,136700.0,30.0,164 x 105 x 85 см,200 x 140 x 44 см,https://www.divan.ru/product/divan-leri-mini-velvet-yellow,1,2025-08-26 04:49:45.066586
Диван прямой Лонди Bunny Milk,80840.0,95540.0,15.0,168 x 90 x 75 см,,https://www.divan.ru/product/divan-londi-bunny-milk,1,2025-08-26 04:49:45.066586
Диван прямой Клаймар Velvet Terra,92600.0,124940.0,25.0,228 x 117 x 90 см,201 x 157 x 45 см,https://www.divan.ru/product/divan-klajmar-velvet-terra,1,2025-08-26 04:49:45.066586
