id,name,price,old_price,discount_percent,dimensions,sleeping_dimensions,url,image_url,scraped_at
91,Диван прямой Лави Velvet Yellow,67610.0,97010.0,30.0,141 x 104 x 87 см,198 x 120 x 40 см,https://www.divan.ru/product/divan-lavi-velvet-yellow,https://cdn0.divan.ru/img/v1/MFWQJRsuvwG1oV6VR-HQdDe3vhXHr3CLUSPKj3-BVn8/t:0::0:0/pd:60:30:60:30/rs:fit:364:156:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzUwOTE1MDQucG5n.jpg,2025-08-26 04:57:49.491974
92,Диван прямой Риен Velvet Smoke,83780.0,110240.0,24.0,216 x 90 x 86 см,190 x 111 x 44 см,https://www.divan.ru/product/divan-rien-velvet-smoke,https://cdn0.divan.ru/img/v1/p1jZPFL9HontdCZbzkeWjyAi8oXuw6pcYugZfDYIqYI/t:0::0:0/pd:30:30:30:30/rs:fit:364:216:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzUyOTQ5ODkucG5n.jpg,2025-08-26 04:57:49.491974
93,Диван угловой Вильен мини Velvet Terra,92600.0,124940.0,25.0,180 x 155 x 98 см,200 x 140 x 45 см,https://www.divan.ru/product/divan-uglovoj-vilen-mini-velvet-terra,https://cdn0.divan.ru/img/v1/RAHu40h2r6p3Nf4BmGYAEV43baa_V2murjkZ8AAuKW4/t:0::0:0/pd:30:30:30:30/rs:fit:364:216:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzUzMjI5MzgucG5n.jpg,2025-08-26 04:57:49.491974
94,Диван прямой Пайпел Bucle Grafit,88190.0,104360.0,15.0,160 x 87 x 74 см,,https://www.divan.ru/product/divan-pajpel-bucle-grafit,https://cdn0.divan.ru/img/v1/v9k6IiTkNemkwi6jQc99eB0EDEK1m7fCRRjJlKTdVqI/t:0::0:0/pd:60:30:60:30/rs:fit:364:156:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzUyMjQ1NjYucG5n.jpg,2025-08-26 04:57:49.491974
95,Диван прямой Мейлон Velvet Beige,80840.0,108770.0,25.0,250 x 104 x 85 см,200 x 156 x 42 см,https://www.divan.ru/product/divan-mejlon-velvet-beige,https://cdn0.divan.ru/img/v1/0Wb8aB08tlH4xh01hUFmffxUHA99AceIvgqYjbS5uM4/t:0::0:0/pd:30:30:30:30/rs:fit:364:216:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzUyMzA1NjkucG5n.jpg,2025-08-26 04:57:49.491974
97,Диван прямой Сорен Textile Yellow,102890.0,122000.0,15.0,177 x 96 x 86 см,,https://www.divan.ru/product/divan-soren-textile-yellow,https://cdn0.divan.ru/img/v1/5D6iu6vMnOzKREB-BCmj4mZr5aGC6Ed7ekb5n-P968U/t:0::0:0/pd:60:30:60:30/rs:fit:364:156:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzQ5Mzc2ODMucG5n.jpg,2025-08-26 04:57:49.491974
98,Диван прямой Лачи Velvet Yellow,51440.0,69080.0,25.0,198 x 92 x 90 см,198 x 130 x 45 см,https://www.divan.ru/product/divan-lachi-velvet-yellow,https://cdn0.divan.ru/img/v1/CfHNhWwE_6sSFct-DcnO_ykP157XgmX6kM1da_bMwQ0/t:0::0:0/pd:60:30:60:30/rs:fit:364:156:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzQzOTcwOTYucG5n.jpg,2025-08-26 04:57:49.491974
99,Диван прямой Данста Velvet Light,102890.0,138170.0,25.0,215 x 102 x 83 см,195 x 150 x 45 см,https://www.divan.ru/product/divan-dansta-velvet-light,https://cdn0.divan.ru/img/v1/f92nOn7XjjY25d3oxbEehS-9rSzqHnMqnPN65bnh7cw/t:0::0:0/pd:30:30:30:30/rs:fit:364:216:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzQ4MTEzMjAucG5n.jpg,2025-08-26 04:57:49.491974
100,Диван угловой Шера Velvet Olive,161690.0,191090.0,15.0,320 x 155 x 99 см,202 x 153 x 47 см,https://www.divan.ru/product/divan-uglovoj-shera-velvet-olive,https://cdn0.divan.ru/img/v1/4kwo1v_YdF_NFEr6RC8mmqbIl5FdcZyy0QSh4MQs-0E/t:0::0:0/pd:30:30:30:30/rs:fit:364:216:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzQ5MDUzNDAucG5n.jpg,2025-08-26 04:57:49.491974
101,Диван прямой Викс Textile Grafit,36740.0,39680.0,7.0,198 x 90 x 83 см,198 x 130 x 40 см,https://www.divan.ru/product/divan-viks-textile-grafit,https://cdn0.divan.ru/img/v1/82qPZHJ9fHVoSxBHT2YQhxW6g_gtW39TtnRcIJdiPxQ/t:0::0:0/pd:60:30:60:30/rs:fit:364:156:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzUwMTM4NDEucG5n.jpg,2025-08-26 04:57:49.491974
102,Диван 49,,,,,,,,2025-08-26 04:57:49.491974
103,Диван 50,,,,,,,,2025-08-26 04:57:49.491974
104,Диван 51,,,,,,,,2025-08-26 04:57:49.491974
105,Диван 52,,,,,,,,2025-08-26 04:57:49.491974
106,Диван 53,,,,,,,,2025-08-26 04:57:49.491974
2,Диван прямой Мелоу Velvet Eclipse,80840.0,101420.0,20.0,205 x 112 x 92 см,205 x 160 x 46 см,https://www.divan.ru/product/divan-pryamoj-melou-velvet-eclipse,https://cdn0.divan.ru/img/v1/M7hPuzQCLf7ckEp0YBmUU6hQswn513gqQr2VsLvxnso/t:0::0:0/pd:60:30:60:30/rs:fit:364:156:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzU1OTA1NTQucG5n.jpg,2025-08-26 04:49:45.066586
